,HOLLISTER_2,dummy
1218,8.162,0
1219,10.044,0
1220,12.636,0
1221,15.269,0
1222,18.292,0
1223,19.43,0
1224,20.426,0
1225,23.94,0
1226,28.547,0
1227,28.683,0
1228,26.277,0
1229,22.198,0
1230,17.504,0
1231,12.324,0
1232,8.189,0
1233,6.264,0
1234,4.845,0
1235,6.548,0
1236,6.833,0
1237,6.544,0
1238,3.426,0
1239,-2.985,0
1240,-7.218,0
1241,-11.981,0
1242,-18.331,0
1243,-21.588,0
1244,-21.698,0
1245,-18.837,0
1246,-14.402,0
1247,-9.089,0
1248,-1.724,0
1249,5.945,0
1250,12.282,0
1251,15.192,0
1252,15.275,0
1253,16.003,0
1254,18.524,0
1255,20.376,0
1256,23.102,0
1257,29.335,0
1258,34.922,0
1259,37.362,0
1260,38.113,0
1261,38.103,0
1262,37.087,0
1263,34.651,0
1264,32.721,0
1265,29.045,0
1266,23.517,0
1267,19.075,0
1268,17.707,0
1269,20.524,0
1270,23.753,0
1271,27.748,0
1272,28.645,0
1273,28.705,0
1274,28.111,0
1275,26.252,0
1276,26.885,0
1277,27.815,0
1278,31.281,0
1279,34.707,0
1280,35.542,0
1281,32.347,0
1282,27.402,0
1283,23.654,0
1284,19.389,0
1285,14.952,0
1286,9.979,0
1287,6.197,0
1288,3.433,0
1289,0.727,0
1290,-0.172,0
1291,-2.706,0
1292,-5.054,0
1293,-5.613,0
1294,-4.358,0
1295,-2.193,0
1296,-3.959,0
1297,-6.84,0
1298,-8.002,0
1299,-7.46,0
1300,-3.491,0
1301,0.897,0
1302,3.341,0
1303,2.405,0
1304,-0.817,0
1305,-3.465,0
1306,-5.675,0
1307,-5.558,0
1308,-3.234,0
1309,-0.715,0
1310,2.113,0
1311,3.454,0
1312,4.139,0
1313,5.373,0
1314,7.934,0
1315,12.34,0
1316,15.323,0
1317,15.255,0
1318,15.597,0
1319,14.689,0
1320,12.856,0
1321,11.432,0
1322,8.308,0
1323,3.237,0
1324,-3.573,0
1325,-10.845,0
1326,-15.208,0
1327,-16.251,0
1328,-15.45,0
1329,-11.412,0
1330,-7.864,0
1331,-5.021,0
1332,-6.296,0
1333,-8.436,0
1334,-10.279,0
1335,-9.921,0
1336,-6.906,0
1337,-4.6,0
1338,-1.621,0
1339,-2.121,0
1340,-4.084,0
1341,-5.413,0
1342,-7.201,0
1343,-8.44,0
1344,-10.102,0
1345,-11.728,0
1346,-12.86,0
1347,-12.581,0
1348,-10.89,0
1349,-7.896,0
1350,-5.062,0
1351,-4.881,0
1352,-6.133,0
1353,-9.891,0
1354,-14.526,0
1355,-19.834,0
1356,-25.625,0
1357,-31.152,0
1358,-34.842,0
1359,-38.401,0
1360,-40.398,0
1361,-41.256,0
1362,-40.953,0
1363,-38.609,0
1364,-36.096,0
1365,-32.471,0
1366,-29.584,0
1367,-27.02,0
1368,-22.658,0
1369,-17.629,0
1370,-12.526,0
1371,-7.805,0
1372,-5.657,0
1373,-5.215,0
1374,-6.237,0
1375,-7.376,0
1376,-8.436,0
1377,-11.11,0
1378,-13.788,0
1379,-14.238,0
1380,-13.595,0
1381,-12.003,0
1382,-9.392,0
1383,-7.463,0
1384,-6.414,0
1385,-5.42,0
1386,-4.236,0
1387,-0.185,0
1388,2.593,0
1389,4.645,0
1390,7.712,0
1391,10.133,0
1392,11.372,0
1393,11.592,0
1394,9.302,0
1395,7.119,0
1396,5.312,0
1397,5.523,0
1398,8.842,0
1399,11.61,0
1400,14.939,0
1401,15.688,0
1402,15.848,0
1403,14.545,0
1404,11.631,0
1405,9.173,0
1406,6.7,0
1407,4.91,0
1408,4.8,0
1409,3.303,0
1410,2.098,0
1411,1.296,0
1412,-0.435,0
1413,-2.733,0
1414,-5.196,0
1415,-4.12,0
1416,-2.497,0
1417,-2.067,0
1418,-2.316,0
1419,-1.714,0
1420,0.244,0
1421,3.795,0
1422,5.821,0
1423,5.425,0
1424,3.497,0
1425,0.977,0
1426,-0.763,0
1427,-1.633,0
1428,-0.485,0
1429,1.852,0
1430,4.595,0
1431,5.383,0
1432,6.177,0
1433,6.295,0
1434,4.443,0
1435,3.875,0
1436,1.151,0
1437,-1.807,0
1438,-4.211,0
1439,-8.41,0
1440,-10.6,0
1441,-13.624,0
1442,-17.098,0
1443,-20.156,0
1444,-22.917,0
1445,-24.616,0
1446,-28.322,0
1447,-31.647,0
1448,-34.383,0
1449,-37.126,0
1450,-38.387,0
1451,-38.408,0
1452,-38.642,0
1453,-37.789,0
1454,-37.016,0
1455,-36.773,0
1456,-37.008,0
1457,-36.281,0
1458,-36.443,0
1459,-37.453,0
1460,-35.664,0
1461,-34.308,0
1462,-32.579,0
1463,-30.267,0
1464,-28.29,0
1465,-24.03,0
1466,-20.365,0
1467,-16.584,0
1468,-10.757,0
1469,-7.014,0
1470,-5.066,0
1471,-4.131,0
1472,-3.078,0
1473,-1.461,0
1474,0.179,0
1475,-1.22,0
1476,-0.751,0
1477,-0.05,0
1478,0.92,0
1479,4.528,0
1480,9.092,0
1481,14.067,0
1482,18.518,0
1483,24.233,0
1484,27.875,0
1485,32.05,0
1486,36.882,0
1487,40.671,0
1488,43.996,0
1489,45.089,0
1490,47.094,0
1491,48.289,0
1492,48.358,0
1493,50.46,0
1494,52.45,0
1495,55.499,0
1496,57.928,0
1497,60.117,0
1498,60.665,0
1499,59.903,0
1500,57.405,0
1501,52.381,0
1502,48.439,0
1503,45.47,0
1504,42.038,0
1505,39.806,0
1506,37.177,0
1507,33.482,0
1508,29.764,0
1509,23.669,0
1510,18.566,0
1511,14.291,0
1512,10.276,0
1513,6.717,0
1514,2.126,0
1515,-1.272,0
1516,-4.943,0
1517,-8.392,0
1518,-11.246,0
1519,-14.055,0
1520,-17.334,0
1521,-19.988,0
1522,-21.346,0
1523,-22.772,0
1524,-22.388,0
1525,-23.257,0
1526,-21.663,0
1527,-21.584,0
1528,-22.645,0
1529,-23.986,0
1530,-25.345,0
1531,-25.521,0
1532,-25.174,0
1533,-22.966,0
1534,-21.94,0
1535,-20.211,0
1536,-18.864,0
1537,-15.439,0
1538,-13.609,0
1539,-12.105,0
1540,-9.32,0
1541,-7.327,0
1542,-5.246,0
1543,-1.408,0
1544,3.327,0
1545,7.537,0
1546,10.56,0
1547,12.619,0
1548,14.254,0
1549,14.124,0
1550,15.837,0
1551,17.428,0
1552,18.863,0
1553,20.474,0
1554,21.372,0
1555,23.531,0
1556,25.31,0
1557,27.768,0
1558,28.965,0
1559,28.257,0
1560,28.773,0
1561,28.39,0
1562,27.806,0
1563,25.194,0
1564,23.173,0
1565,22.178,0
1566,20.244,0
1567,19.273,0
